2026-05-26T19:40:37-04:00
Running ./build/run_benchmarks
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 2.19, 2.73, 2.76
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"FLOPS"
"BENCHMARK_gemm_parallel/128/4",1700,417530,411721,ns,,,,,,1.01872e+10
"BENCHMARK_gemm_parallel/128/8",3169,274613,233143,ns,,,,,,1.79903e+10
"BENCHMARK_gemm_parallel/128/16",4193,285165,159464,ns,,,,,,2.63025e+10
"BENCHMARK_gemm_parallel/256/2",88,7.8144e+06,7.78642e+06,ns,,,,,,4.30935e+09
"BENCHMARK_gemm_parallel/256/4",163,4.32862e+06,4.27814e+06,ns,,,,,,7.84323e+09
"BENCHMARK_gemm_parallel/256/8",334,2.56677e+06,2.0917e+06,ns,,,,,,1.60417e+10
"BENCHMARK_gemm_parallel/256/16",489,2.26585e+06,1.45008e+06,ns,,,,,,2.31397e+10
"BENCHMARK_gemm_parallel/512/2",9,7.68479e+07,7.65033e+07,ns,,,,,,3.50881e+09
"BENCHMARK_gemm_parallel/512/4",16,4.46346e+07,4.41249e+07,ns,,,,,,6.08353e+09
"BENCHMARK_gemm_parallel/512/8",30,2.41985e+07,2.33017e+07,ns,,,,,,1.152e+10
"BENCHMARK_gemm_parallel/512/16",45,1.99688e+07,1.50367e+07,ns,,,,,,1.7852e+10
"BENCHMARK_gemm_parallel/1024/2",1,6.29335e+08,6.29209e+08,ns,,,,,,3.41299e+09
"BENCHMARK_gemm_parallel/1024/4",2,3.35885e+08,3.26265e+08,ns,,,,,,6.58202e+09
"BENCHMARK_gemm_parallel/1024/8",4,1.79408e+08,1.76644e+08,ns,,,,,,1.21571e+10
"BENCHMARK_gemm_parallel/1024/16",6,1.85115e+08,1.20662e+08,ns,,,,,,1.77976e+10
"BENCHMARK_axpy_cache_conscious/16384/128",201471,3593.52,3526.09,ns,,,,,,9.29301e+09
"BENCHMARK_axpy_cache_conscious/16384/256",200302,3473.74,3473.68,ns,,,,,,9.43322e+09
"BENCHMARK_axpy_cache_conscious/16384/512",199661,3488.46,3483.6,ns,,,,,,9.40636e+09
"BENCHMARK_axpy_cache_conscious/262144/256",12490,55867,55853.2,ns,,,,,,9.38689e+09
"BENCHMARK_axpy_cache_conscious/262144/512",12686,55285.1,55282.4,ns,,,,,,9.48382e+09
"BENCHMARK_axpy_cache_conscious/262144/1024",12668,55397.5,55397.5,ns,,,,,,9.46412e+09
"BENCHMARK_axpy_cache_conscious/1048576/512",3047,228564,228564,ns,,,,,,9.17533e+09
"BENCHMARK_axpy_cache_conscious/1048576/1024",3072,228438,228438,ns,,,,,,9.18038e+09
"BENCHMARK_axpy_cache_conscious/1048576/2048",3035,236741,235366,ns,,,,,,8.91016e+09
"BENCHMARK_axpy_cache_conscious/1048576/4096",3014,231031,231029,ns,,,,,,9.07746e+09
"BENCHMARK_scal_cache_conscious/16384/128",447133,1552.11,1551.08,ns,,,,,,2.1126e+10
"BENCHMARK_scal_cache_conscious/16384/256",455634,1557.64,1554.43,ns,,,,,,2.10804e+10
"BENCHMARK_scal_cache_conscious/16384/512",456240,1545.67,1544.78,ns,,,,,,2.12121e+10
"BENCHMARK_scal_cache_conscious/262144/256",18680,37289.6,37200.7,ns,,,,,,1.40935e+10
"BENCHMARK_scal_cache_conscious/262144/512",18836,36008.1,36000.6,ns,,,,,,1.45633e+10
"BENCHMARK_scal_cache_conscious/262144/1024",19717,38328.9,38209.5,ns,,,,,,1.37214e+10
"BENCHMARK_scal_cache_conscious/1048576/512",4318,164162,164037,ns,,,,,,1.27846e+10
"BENCHMARK_scal_cache_conscious/1048576/1024",4717,144603,144600,ns,,,,,,1.45032e+10
"BENCHMARK_scal_cache_conscious/1048576/2048",4825,144033,144033,ns,,,,,,1.45602e+10
"BENCHMARK_scal_cache_conscious/1048576/4096",4888,142947,142947,ns,,,,,,1.46708e+10
"BENCHMARK_dot_cache_conscious/16384/128",48080,14814.7,14703.5,ns,,,,,,2.22858e+09
"BENCHMARK_dot_cache_conscious/16384/256",48539,14436.1,14436.1,ns,,,,,,2.26986e+09
"BENCHMARK_dot_cache_conscious/16384/512",48528,14477.8,14477.9,ns,,,,,,2.26331e+09
"BENCHMARK_dot_cache_conscious/262144/256",2959,242774,235363,ns,,,,,,2.22757e+09
"BENCHMARK_dot_cache_conscious/262144/512",2860,242620,239358,ns,,,,,,2.19039e+09
"BENCHMARK_dot_cache_conscious/262144/1024",2892,234769,234760,ns,,,,,,2.2333e+09
"BENCHMARK_dot_cache_conscious/1048576/512",735,933190,933189,ns,,,,,,2.2473e+09
"BENCHMARK_dot_cache_conscious/1048576/1024",751,930047,930044,ns,,,,,,2.2549e+09
"BENCHMARK_dot_cache_conscious/1048576/2048",754,951046,936405,ns,,,,,,2.23958e+09
"BENCHMARK_dot_cache_conscious/1048576/4096",747,946999,937971,ns,,,,,,2.23584e+09
"BENCHMARK_nrm2_cache_conscious/16384/128",48571,14587.7,14581.2,ns,,,,,,2.24728e+09
"BENCHMARK_nrm2_cache_conscious/16384/256",47801,14506,14501.1,ns,,,,,,2.25968e+09
"BENCHMARK_nrm2_cache_conscious/16384/512",48150,14541,14532.1,ns,,,,,,2.25486e+09
"BENCHMARK_nrm2_cache_conscious/262144/256",2990,234028,233977,ns,,,,,,2.24076e+09
"BENCHMARK_nrm2_cache_conscious/262144/512",2999,235818,235705,ns,,,,,,2.22434e+09
"BENCHMARK_nrm2_cache_conscious/262144/1024",2987,234224,234152,ns,,,,,,2.2391e+09
"BENCHMARK_nrm2_cache_conscious/1048576/512",754,931111,931001,ns,,,,,,2.25258e+09
"BENCHMARK_nrm2_cache_conscious/1048576/1024",745,947074,946379,ns,,,,,,2.21598e+09
"BENCHMARK_nrm2_cache_conscious/1048576/2048",747,941767,941171,ns,,,,,,2.22824e+09
"BENCHMARK_nrm2_cache_conscious/1048576/4096",746,951620,950610,ns,,,,,,2.20611e+09
"BENCHMARK_axpy_baseline/16384",199268,3479.19,3478.76,ns,,,,,,9.41944e+09
"BENCHMARK_axpy_baseline/32768",101678,6927.16,6925.82,ns,,,,,,9.46256e+09
"BENCHMARK_axpy_baseline/65536",49804,14205.5,14198,ns,,,,,,9.23171e+09
"BENCHMARK_axpy_baseline/131072",24415,28851.1,28776.1,ns,,,,,,9.10979e+09
"BENCHMARK_axpy_baseline/262144",11635,56050.1,56018.4,ns,,,,,,9.35921e+09
"BENCHMARK_axpy_baseline/524288",6243,112184,112170,ns,,,,,,9.34806e+09
"BENCHMARK_axpy_baseline/1048576",3029,230515,230488,ns,,,,,,9.09876e+09
"BENCHMARK_scal_baseline/16384",456690,1543.93,1543.47,ns,,,,,,2.12301e+10
"BENCHMARK_scal_baseline/32768",153418,4485.68,4484.57,ns,,,,,,1.46137e+10
"BENCHMARK_scal_baseline/65536",77654,9000.46,8994.13,ns,,,,,,1.45731e+10
"BENCHMARK_scal_baseline/131072",37838,18080.2,18069,ns,,,,,,1.45079e+10
"BENCHMARK_scal_baseline/262144",19356,36450.5,36434.1,ns,,,,,,1.439e+10
"BENCHMARK_scal_baseline/524288",9528,75198.1,75156,ns,,,,,,1.3952e+10
"BENCHMARK_scal_baseline/1048576",4282,150368,150293,ns,,,,,,1.39538e+10
"BENCHMARK_dot_baseline/16384",48346,14451.9,14451.7,ns,,,,,,2.26742e+09
"BENCHMARK_dot_baseline/32768",24135,28981.2,28979.6,ns,,,,,,2.26145e+09
"BENCHMARK_dot_baseline/65536",12047,58202.4,58170.4,ns,,,,,,2.25324e+09
"BENCHMARK_dot_baseline/131072",6096,117041,116948,ns,,,,,,2.24155e+09
